id,name,surname,researchfield,university,age
89,Leah,Martinez,Security,University of Patras,32
90,Andreas,Carter,Advertising & Marketing,National and Kapodistrian University of Athens,30
91,Oscar,Green,Software,Technion – Israel Institute of Technology,18
92,Joseph,Johnson,Advertising & Marketing,University of Porto,24
93,Nikoleta,Dubois,Financial Services,University of Bern,26
94,Ivy,Johnson,Advertising & Marketing,National and Kapodistrian University of Athens,18
95,Roxanne,Robinson,Software,National and Kapodistrian University of Athens,29
96,Maria,Miller,IT Management,University of Bern,25
97,Diana,Nielsen,Financial Services,University of Amsterdam,28
98,Oscar,Horvath,Software,Aristotle University of Thessaloniki,36
99,Christos,Harris,Construction,University of Strasbourg,34
100,Peter,Clark,Construction,Aristotle University of Thessaloniki,25
101,Natalie,Nielsen,Software,Aristotle University of Thessaloniki,20
102,Liam,Nielsen,Human Resources,University of Zurich,20
103,Eva,Baker,Government Services,University of Patras,18
104,Victor,Jones,Retail,University of Belgrade,22
105,Leo,Bianchi,Business Products & Services,University of Oslo,27
106,Anthony,Brown,Construction,University of Amsterdam,24
107,Angelina,Scott,Advertising & Marketing,KTH Royal Institute of Technology,26
108,Stella,Moore,IT System Development,National and Kapodistrian University of Athens,24
109,Chloe,Lewis,Logistics & Transportation,University of Ljubljana,26
110,Stephen,Green,Environmental Services,University of Groningen,25
111,Angelina,Hernandez,Insurance,Aalto University,29
112,Spyros,Taylor,Business Products & Services,The University of Edinburgh,19
113,Dimitris,Green,Consumer Products & Services,University of Patras,18
114,Penelope,Walker,IT Management,Aalto University,33
115,Martin,Horvath,Financial Services,University of Patras,40
116,Leo,Martin,Software,Aalto University,40
117,Anthony,Lopez,Government Services,Sciences Po,22
118,Paula,Taylor,Financial Services,Charles University,20
119,Joseph,Lewis,Health,Aristotle University of Thessaloniki,29
120,Irene,Harris,Food & Beverage,University of Copenhagen,25
121,Roxanne,Perez,Human Resources,Aarhus University,39
122,Sofia,Moore,Manufacturing,University of Patras,20
123,Isabella,Baker,Health,Aristotle University of Thessaloniki,18
124,Nikoleta,Dubois,Business Products & Services,University of Patras,20
125,Christos,Jackson,Consumer Products & Services,Aarhus University,22
126,Dimitris,Smith,Retail,University of Strasbourg,32
127,Liam,Williams,Software,Jagiellonian University,31
128,Elisa,Johnson,Advertising & Marketing,University of Cambridge,20
129,Olivia,Muller,Advertising & Marketing,University of Warsaw,18
130,Timothy,Scott,Energy,Eindhoven University of Technology,22
131,Oscar,Davis,Advertising & Marketing,Aristotle University of Thessaloniki,40
132,Harris,King,Software,Delft University of Technology,31
133,Nikoleta,Walker,Construction,National and Kapodistrian University of Athens,24
134,Georgia,Wright,Real Estate,Technion – Israel Institute of Technology,26
135,Nikoleta,Williams,Software,National and Kapodistrian University of Athens,32
136,Isabella,Taylor,Health,University of Barcelona,32
137,Anna,Lopez,Consumer Products & Services,University of Porto,27
138,Nicole,Lee,IT Services,Aristotle University of Thessaloniki,30
139,Christina,Johnson,Software,Imperial College London,36
140,Matthew,Martin,Manufacturing,National and Kapodistrian University of Athens,24
141,Joseph,Rossi,Construction,The University of Edinburgh,34
142,Georgia,Nielsen,Government Services,National and Kapodistrian University of Athens,37
143,Jason,Novak,IT Management,Sciences Po,21
144,Bianca,Jackson,Advertising & Marketing,National and Kapodistrian University of Athens,22
145,Diana,Williams,Media,Uppsala University,40
146,Alice,White,Advertising & Marketing,University of Warsaw,24
147,Victor,Schmidt,Business Products & Services,University of Barcelona,30
148,Arthur,Garcia,Engineering,EPFL,32
149,Victor,Robinson,Software,Aristotle University of Thessaloniki,28
150,Stella,Bianchi,Construction,Sciences Po,21
151,Kostas,Walker,IT Management,National and Kapodistrian University of Athens,30
152,Eleni,Martinez,Construction,University of Groningen,24
153,Victor,Schmidt,Financial Services,The University of Edinburgh,36
154,Grace,White,Software,National and Kapodistrian University of Athens,39
155,Julia,Miller,Business Products & Services,University of Lisbon,19
156,Timothy,Jones,Software,National and Kapodistrian University of Athens,27
157,Nicole,Jones,Software,Aristotle University of Thessaloniki,30
158,Mark,King,Consumer Products & Services,Aarhus University,38
159,Nicole,Dubois,Health,Aristotle University of Thessaloniki,23
160,Spyros,Horvath,Logistics & Transportation,University of Patras,29
161,William,Muller,Consumer Products & Services,National and Kapodistrian University of Athens,29
162,Andrew,Dubois,Health,University of Ljubljana,37
163,Evelyn,Perez,Financial Services,National and Kapodistrian University of Athens,28
164,Nadia,Johnson,Construction,University of Copenhagen,40
165,Kostas,Smith,Real Estate,Ghent University,24
166,Grace,Schmidt,Software,University of Vienna,18
167,Christopher,Green,Advertising & Marketing,Aristotle University of Thessaloniki,18
168,Theodora,Carter,Business Products & Services,Sapienza University of Rome,37
169,Julia,Anderson,Manufacturing,Stockholm University,30
170,Max,Davis,Business Products & Services,University of Amsterdam,26
171,Michael,Schmidt,IT Management,National and Kapodistrian University of Athens,20
172,Kostas,Nelson,Food & Beverage,University College Dublin,24
173,Adrian,Walker,Advertising & Marketing,Aalto University,23
174,Philip,Hernandez,Financial Services,EPFL,25
175,Roxanne,Carter,Financial Services,National and Kapodistrian University of Athens,26
176,Julia,Lee,Advertising & Marketing,University of Bern,22
177,Christos,Gonzalez,Energy,National and Kapodistrian University of Athens,18
178,Penelope,Hall,Government Services,University of Patras,36
179,Grace,King,Software,Tel Aviv University,27
180,Alex,Schmidt,Retail,Ludwig Maximilian University of Munich,29
181,Leah,Johnson,Real Estate,University College Dublin,32
182,Julia,Lee,Advertising & Marketing,National and Kapodistrian University of Athens,39
183,Eleni,White,Health,University of Belgrade,26
184,Lucas,Allen,Manufacturing,University of Patras,37
185,Nicholas,Hernandez,Food & Beverage,The University of Edinburgh,34
186,Theodora,Davis,Food & Beverage,Uppsala University,34
187,Eleni,Thompson,Business Products & Services,National and Kapodistrian University of Athens,37
188,Leo,Bianchi,IT System Development,University of Zurich,29
189,Helen,Adams,Real Estate,Technion – Israel Institute of Technology,24
190,Leah,Sanchez,Health,Charles University,19
191,Stephen,Robinson,Retail,University College Dublin,20
192,Nicholas,Lopez,Engineering,Ghent University,34
193,Evelyn,Hall,Health,ETH Zurich,22
194,Georgia,Miller,Food & Beverage,KU Leuven,34
195,Zoe,Martin,Construction,University of Belgrade,34
196,Maria,Perez,Manufacturing,Aarhus University,34
197,Matthew,Baker,Business Products & Services,Aarhus University,19
198,Adrian,White,Travel & Hospitality,Imperial College London,19
199,Benjamin,Sanchez,Human Resources,University of Zurich,39
200,Leo,Lopez,Business Products & Services,Aristotle University of Thessaloniki,40
201,Marta,Novak,Human Resources,University of Cambridge,22
202,Chloe,Green,Business Products & Services,The University of Manchester,18
203,Leo,King,Engineering,Stockholm University,18
204,Adrian,Jackson,Software,University of Oxford,36
205,Joseph,Robinson,Business Products & Services,Ghent University,19
206,Katerina,Johnson,Government Services,Delft University of Technology,38
207,Alex,Wright,Business Products & Services,Aristotle University of Thessaloniki,29
208,Christina,Dubois,Financial Services,Aristotle University of Thessaloniki,23
209,Marta,Walker,Financial Services,ETH Zurich,40
210,George,Lewis,Security,University of Bern,21
211,Marina,Muller,Retail,University of Ljubljana,40
212,Thomas,Green,IT Management,Politecnico di Milano,28
213,Maria,Horvath,Real Estate,University of Geneva,34
214,Joseph,Davis,Software,University of Zurich,23
215,Rebecca,Young,Retail,University of Zurich,22
216,Roxanne,Martin,Government Services,KU Leuven,37
217,Timothy,Adams,Telecommunications,Technical University of Munich,19
218,Samuel,Johnson,Construction,Chalmers University of Technology,23
219,Irene,Walker,Advertising & Marketing,University of Geneva,39
220,Maya,Nielsen,Advertising & Marketing,National and Kapodistrian University of Athens,28
221,Ivy,Martin,Government Services,EPFL,33
222,Ivy,Young,IT Services,University of Barcelona,33
223,Harris,Lewis,Business Products & Services,National and Kapodistrian University of Athens,18
224,Maya,Sanchez,Health,Technical University of Munich,26
225,Zoe,Adams,Business Products & Services,National and Kapodistrian University of Athens,23
226,Noah,Davis,Business Products & Services,Chalmers University of Technology,33
227,Angelina,Bianchi,Health,National and Kapodistrian University of Athens,20
228,Sara,Lee,Business Products & Services,Lund University,37
229,Adrian,Harris,Government Services,The University of Manchester,21
230,Arthur,Anderson,Advertising & Marketing,Imperial College London,36
231,Victor,Rossi,Environmental Services,The University of Manchester,20
232,Marta,Miller,Business Products & Services,The University of Edinburgh,36
233,Penelope,Davis,Software,University of Patras,37
234,Chloe,Baker,Software,Leiden University,24
235,Roman,Taylor,Software,KU Leuven,37
236,Hugo,Moore,Travel & Hospitality,University of Patras,26
237,William,Wright,Business Products & Services,University of Patras,18
238,Adrian,Nelson,IT System Development,University College London,25
239,Ivy,Jackson,Business Products & Services,Charles University,24
240,Nadia,Miller,Food & Beverage,University of Strasbourg,35
241,Leo,Anderson,Business Products & Services,Delft University of Technology,25
242,Nikos,Walker,Logistics & Transportation,EPFL,18
243,Catherine,Mitchell,Logistics & Transportation,Charles University,28
244,Martin,Sanchez,Education,University of Cambridge,35
245,Anthony,Scott,Advertising & Marketing,National and Kapodistrian University of Athens,40
246,Eleni,Dubois,Business Products & Services,Aristotle University of Thessaloniki,27
247,Richard,Adams,Financial Services,Tel Aviv University,20
248,Martin,Muller,Logistics & Transportation,University of Patras,24
249,Nicholas,Martin,Advertising & Marketing,National and Kapodistrian University of Athens,33
250,Paul,Brown,Business Products & Services,University of Patras,33
251,Lydia,Nielsen,Computer Hardware,University of Warsaw,37
252,Theodora,Wright,Computer Hardware,Aristotle University of Thessaloniki,34
253,Lucas,Thompson,Software,Pompeu Fabra University,19
254,Jason,Perez,Retail,University of Patras,18
255,Katerina,Lee,Financial Services,EPFL,33
256,Victor,Schmidt,Health,Sapienza University of Rome,29
257,Chloe,Harris,Consumer Products & Services,University of Patras,22
258,Matthew,Anderson,Engineering,University of Vienna,22
259,Julia,Williams,IT System Development,University of Vienna,40
260,Georgia,Gonzalez,IT Management,National and Kapodistrian University of Athens,26
261,Nicholas,Novak,Software,University of Patras,26
262,Zoe,Adams,Construction,University of Patras,20
263,Isabella,Carter,Business Products & Services,Aristotle University of Thessaloniki,36
264,Liam,Perez,Engineering,University of Patras,33
265,Daniel,Smith,IT Management,University of Ljubljana,33
266,Olivia,White,Business Products & Services,University of Oxford,20
267,Max,Novak,Software,Uppsala University,37
268,Laura,Moore,Insurance,National and Kapodistrian University of Athens,39
269,Eleni,Muller,Business Products & Services,Charles University,18
270,Irene,Baker,Business Products & Services,Politecnico di Milano,37
271,Roxanne,Wright,Logistics & Transportation,Jagiellonian University,28
272,Thomas,Green,Business Products & Services,ETH Zurich,34
273,Gregory,Wright,Health,Eindhoven University of Technology,25
274,Victoria,Gonzalez,Construction,Stockholm University,21
275,Peter,Bianchi,Financial Services,University of Oxford,23
276,Vasilis,Jackson,Telecommunications,Uppsala University,25
277,Lucas,Gonzalez,Financial Services,Trinity College Dublin,37
278,Nicole,Allen,Consumer Products & Services,Chalmers University of Technology,20
279,Roman,Horvath,Software,Technion – Israel Institute of Technology,33
280,Olivia,Sanchez,Software,Aristotle University of Thessaloniki,20
281,Hugo,King,Health,University of Oslo,35
282,Dimitris,Baker,Software,Aristotle University of Thessaloniki,31
283,Harris,Schmidt,Financial Services,Imperial College London,35
284,Peter,Dubois,Insurance,University of Tartu,19
285,Patricia,Miller,Education,Aristotle University of Thessaloniki,39
286,Vasilis,Davis,Government Services,Aristotle University of Thessaloniki,20
287,Eleni,Hall,Business Products & Services,University of Oslo,33
288,Adrian,Novak,Software,Ludwig Maximilian University of Munich,26
289,Benjamin,Jones,Financial Services,University of Tartu,21
290,David,Robinson,Manufacturing,Aristotle University of Thessaloniki,18
291,Victor,Martinez,Telecommunications,Ghent University,21
292,Robert,Muller,Human Resources,National and Kapodistrian University of Athens,18
293,Natalie,Smith,Consumer Products & Services,The University of Manchester,31
294,Benjamin,Taylor,Software,Uppsala University,38
295,Eleni,Scott,IT Management,National and Kapodistrian University of Athens,33
296,Robert,Schmidt,Advertising & Marketing,National and Kapodistrian University of Athens,37
297,Julia,Garcia,Construction,ETH Zurich,25
298,Marta,Taylor,Logistics & Transportation,Aristotle University of Thessaloniki,24
299,Spyros,Hernandez,Consumer Products & Services,Charles University,20
300,George,Young,Business Products & Services,Aristotle University of Thessaloniki,34
301,Alex,Garcia,Computer Hardware,Imperial College London,18
302,Harris,Williams,Business Products & Services,The University of Edinburgh,33
303,Alexandra,Hall,Engineering,University of Amsterdam,29
304,Athena,Wright,Logistics & Transportation,University of Tartu,36
305,Maria,Taylor,Construction,ETH Zurich,39
306,Leo,Rossi,Manufacturing,University of Bern,40
307,Thomas,Scott,Financial Services,National and Kapodistrian University of Athens,39
308,Angelina,Wright,Manufacturing,University of Patras,31
309,Veronica,Martinez,Software,Technical University of Munich,23
310,Diana,Schmidt,Health,Jagiellonian University,23
311,Philip,Baker,Human Resources,National and Kapodistrian University of Athens,30
312,Katerina,Perez,Business Products & Services,University of Strasbourg,36
313,Marina,Walker,Government Services,Aristotle University of Thessaloniki,39
314,Michael,Smith,Construction,Stockholm University,25
315,Julia,Lopez,Software,University of Patras,19
316,Georgia,Garcia,Advertising & Marketing,ETH Zurich,38
317,David,Hall,Consumer Products & Services,University of Oxford,18
318,Andreas,Lopez,Government Services,Aristotle University of Thessaloniki,32
319,William,Dubois,IT Management,National and Kapodistrian University of Athens,18
320,Jack,Kowalski,Logistics & Transportation,University of Helsinki,22
321,Mark,White,Software,University of Strasbourg,33
322,Paula,Scott,Software,University of Strasbourg,36
323,Nicholas,Gonzalez,Government Services,Aristotle University of Thessaloniki,21
324,Michael,Mitchell,Food & Beverage,University of Patras,20
325,Bianca,Lewis,Human Resources,University of Oxford,34
326,Nicholas,Adams,Advertising & Marketing,Ghent University,34
327,Alice,Bianchi,Human Resources,National and Kapodistrian University of Athens,29
328,Paul,Taylor,Logistics & Transportation,Aristotle University of Thessaloniki,31
329,Alex,Anderson,Retail,University of Geneva,38
330,Harris,Lopez,Government Services,Uppsala University,23
331,James,Scott,Consumer Products & Services,University of Patras,20
332,Dimitris,Kowalski,Health,Lund University,26
333,Katerina,Moore,Business Products & Services,University of Groningen,22
334,Hugo,Mitchell,Business Products & Services,University of Patras,34
335,George,Horvath,Telecommunications,ETH Zurich,31
336,Nicole,Lewis,Government Services,University of Oxford,38
337,Georgia,Scott,Health,Stockholm University,20
338,Spyros,Carter,Consumer Products & Services,University College Dublin,18
339,Gregory,Thompson,Food & Beverage,University of Groningen,37
340,Peter,Sanchez,Insurance,Technical University of Munich,38
341,Christos,Allen,IT Management,University of Zurich,40
342,Philip,Moore,Health,Trinity College Dublin,18
343,Nikoleta,Harris,Environmental Services,KTH Royal Institute of Technology,20
344,Christos,Schmidt,IT Services,Technical University of Munich,35
345,Natalie,Dubois,Health,Sciences Po,27
346,Arthur,Martinez,Advertising & Marketing,Aristotle University of Thessaloniki,39
347,Katerina,Taylor,Construction,Technical University of Munich,20
348,Alexandra,Scott,Software,University of Patras,25
349,Julia,Horvath,Advertising & Marketing,Tel Aviv University,31
350,Athena,Sanchez,Government Services,Chalmers University of Technology,35
351,Oscar,Smith,Financial Services,National and Kapodistrian University of Athens,32
352,Roxanne,Gonzalez,IT Management,Charles University,39
353,Nikos,Perez,Computer Hardware,University of Barcelona,40
354,Nadia,Thomas,Business Products & Services,Technion – Israel Institute of Technology,19
355,Stella,Anderson,Engineering,Delft University of Technology,27
356,Robert,Sanchez,Telecommunications,University of Amsterdam,19
357,Joseph,Jones,Government Services,Pompeu Fabra University,34
358,Leo,Smith,Education,Aristotle University of Thessaloniki,25
359,Jason,Lee,Insurance,KU Leuven,18
360,Georgia,Novak,Government Services,University of Barcelona,26
361,Henry,Hernandez,Retail,University of Barcelona,28
362,Maya,Hernandez,IT Management,University College Dublin,39
363,Emily,Novak,Advertising & Marketing,Lund University,33
364,Zoe,Davis,Software,Charles University,24
365,Irene,Green,Retail,Aalto University,27
366,Spyros,Allen,IT System Development,University of Patras,40
367,Christos,Harris,Government Services,University of Warsaw,20
368,Harris,Davis,Government Services,University of Zurich,35
369,Veronica,Brown,Logistics & Transportation,EPFL,30
370,Martin,Mitchell,Construction,University of Patras,24
371,Irene,Allen,Software,KTH Royal Institute of Technology,21
372,Christopher,Carter,Consumer Products & Services,University of Amsterdam,30
373,Benjamin,Taylor,Logistics & Transportation,National and Kapodistrian University of Athens,37
374,Helen,Jones,Manufacturing,Leiden University,18
375,Rebecca,Clark,Media,University of Cambridge,25
376,Eva,Rossi,Retail,University of Barcelona,31
377,Christos,Baker,Consumer Products & Services,University of Lisbon,33
378,David,Martin,Advertising & Marketing,Charles University,31
379,Philip,Clark,Manufacturing,University of Belgrade,29
380,Alexandra,Rossi,Business Products & Services,University College Dublin,36
381,Joseph,Smith,Logistics & Transportation,The University of Edinburgh,40
382,Christopher,Hernandez,Human Resources,Charles University,32
383,Stella,White,Security,KU Leuven,19
384,Richard,Lopez,Health,University of Groningen,19
385,Maria,Hall,Consumer Products & Services,Technion – Israel Institute of Technology,40
386,Leo,Nelson,Government Services,Aristotle University of Thessaloniki,39
387,Alice,Dubois,Software,ETH Zurich,36
388,Noah,Lee,Government Services,University College London,39
389,Oscar,Lewis,Advertising & Marketing,Chalmers University of Technology,39
390,Peter,Mitchell,Software,University College Dublin,34
391,Liam,Nielsen,Travel & Hospitality,Leiden University,37
392,Penelope,Walker,Business Products & Services,Eindhoven University of Technology,27
393,Andrew,Thompson,Government Services,University of Lisbon,23
394,Catherine,Baker,Advertising & Marketing,University of Oslo,32
395,Marta,Green,Manufacturing,Aalto University,39
396,Peter,Bianchi,Advertising & Marketing,Lund University,28
397,Liam,Lombardi,Government Services,University of Vienna,22
398,Matthew,Hernandez,Retail,Aristotle University of Thessaloniki,18
399,Christina,Jones,Consumer Products & Services,National and Kapodistrian University of Athens,25
400,Richard,Nelson,Advertising & Marketing,University of Geneva,38
401,Julia,Anderson,Consumer Products & Services,University of Geneva,29
402,Timothy,Davis,Government Services,University of Porto,29
403,Jason,Dubois,Government Services,Tel Aviv University,22
404,George,Moore,Software,University of Porto,24
405,Maya,White,Food & Beverage,University of Oslo,21
406,Lucy,Thomas,Financial Services,Aarhus University,23
407,Catherine,Thompson,Business Products & Services,Ghent University,30
408,Claire,Adams,Retail,University of Oslo,37
409,Peter,Davis,Health,National and Kapodistrian University of Athens,32
410,Matthew,Martinez,Consumer Products & Services,National and Kapodistrian University of Athens,20
411,Sara,Scott,Education,Aristotle University of Thessaloniki,40
412,Roxanne,Nelson,Consumer Products & Services,Technical University of Munich,25
413,Dimitris,Bianchi,IT Management,University of Vienna,37
414,Evelyn,Nielsen,Software,Uppsala University,33
415,Thomas,Robinson,Advertising & Marketing,ETH Zurich,30
416,Hugo,Harris,Telecommunications,Delft University of Technology,35
417,Noah,Adams,Business Products & Services,University of Tartu,27
418,Ivy,Nielsen,Software,Aristotle University of Thessaloniki,36
419,Alexandra,Nelson,Human Resources,University of Oslo,34
420,Henry,Carter,Advertising & Marketing,Aristotle University of Thessaloniki,36
421,Timothy,White,Human Resources,Pompeu Fabra University,40
422,Nicole,Schmidt,Construction,University of Belgrade,22
423,Chloe,Mitchell,Business Products & Services,University of Strasbourg,38
424,David,Lombardi,Business Products & Services,Technion – Israel Institute of Technology,40
425,Ivy,Sanchez,Logistics & Transportation,University of Patras,26
426,Christopher,Moore,IT Management,Aristotle University of Thessaloniki,29
427,Liam,Taylor,Media,National and Kapodistrian University of Athens,38
428,Daniel,Smith,Financial Services,University of Patras,18
429,Paul,Martin,Advertising & Marketing,National and Kapodistrian University of Athens,18
430,Paul,Moore,Consumer Products & Services,Aalto University,32
431,James,Miller,IT Management,Eindhoven University of Technology,19
432,Thomas,Mitchell,Software,University of Patras,39
433,Richard,Anderson,Business Products & Services,KTH Royal Institute of Technology,33
434,Claire,Anderson,Financial Services,The University of Edinburgh,25
435,Leah,Taylor,Financial Services,The University of Edinburgh,30
436,Lucas,Sanchez,Consumer Products & Services,Aarhus University,38
437,Alex,Smith,Construction,University of Copenhagen,18
438,Zoe,Gonzalez,IT Management,Aalto University,33
439,Angelina,Jones,Health,University of Belgrade,24
440,Marina,Brown,Manufacturing,Aristotle University of Thessaloniki,22
441,Ivy,Martinez,Construction,Ludwig Maximilian University of Munich,39
442,Irene,King,Insurance,University of Patras,40
443,Daniel,Young,Health,University of Zurich,20
444,Alexandra,Hall,IT Services,University of Patras,29
445,Nikos,Lombardi,Consumer Products & Services,Aristotle University of Thessaloniki,33
446,Isabella,Sanchez,Government Services,ETH Zurich,36
447,Anna,Gonzalez,Business Products & Services,National and Kapodistrian University of Athens,22
448,Victor,Lee,Business Products & Services,Chalmers University of Technology,39
449,Christos,King,Software,The University of Manchester,31
450,Elisa,Muller,Construction,Charles University,22
451,Victor,Garcia,Construction,National and Kapodistrian University of Athens,32
452,Richard,Jackson,Real Estate,University of Oxford,34
453,Dimitris,Baker,Software,University of Geneva,31
454,Andreas,Walker,Advertising & Marketing,University of Belgrade,37
455,Catherine,Robinson,Retail,Pompeu Fabra University,22
456,Eleni,Nielsen,Logistics & Transportation,University College Dublin,29
457,Theodora,Robinson,Business Products & Services,National and Kapodistrian University of Athens,33
458,Kostas,Horvath,Business Products & Services,Technion – Israel Institute of Technology,33
459,Noah,Sanchez,Government Services,ETH Zurich,38
460,Anthony,Clark,Manufacturing,Aristotle University of Thessaloniki,24
461,Jason,Lee,Business Products & Services,University of Helsinki,21
462,Theodora,Scott,Real Estate,The University of Manchester,18
463,Stella,Gonzalez,Education,EPFL,22
464,Penelope,Scott,Construction,Utrecht University,40
465,Anthony,Miller,Food & Beverage,Charles University,27
466,Thomas,Carter,IT Management,Utrecht University,39
467,Liam,Moore,Advertising & Marketing,University of Patras,22
468,John,Taylor,Travel & Hospitality,National and Kapodistrian University of Athens,21
469,Adrian,Rossi,Government Services,Aristotle University of Thessaloniki,19
470,Harris,White,Food & Beverage,Sapienza University of Rome,37
471,Helen,Horvath,Software,University of Geneva,27
472,Adrian,Anderson,Construction,University of Geneva,36
473,Michael,Hall,Advertising & Marketing,Lund University,18
474,Christopher,Baker,Business Products & Services,Aristotle University of Thessaloniki,22
475,William,Young,Software,Aristotle University of Thessaloniki,30
476,Christos,Wright,Health,University of Tartu,21
477,Paul,Novak,Telecommunications,Technion – Israel Institute of Technology,33
478,John,Thompson,Construction,Aalto University,33
479,Jason,Kowalski,Software,National and Kapodistrian University of Athens,40
480,Evelyn,Garcia,Telecommunications,KU Leuven,19
481,Eva,Baker,Government Services,The University of Manchester,34
482,Christina,Hall,IT System Development,Aristotle University of Thessaloniki,37
483,William,Bianchi,Financial Services,University College Dublin,29
484,Katerina,Clark,Financial Services,University of Amsterdam,35
485,Paula,Thomas,Environmental Services,National and Kapodistrian University of Athens,20
486,Nadia,Johnson,Advertising & Marketing,Utrecht University,18
487,Eleni,Lewis,Retail,National and Kapodistrian University of Athens,18
488,Christos,Allen,Software,ETH Zurich,36
