id,name,surname,researchfield,university,age
227,Ella Z. D.,Johnson-DeLuca,Real Estate,University of British Columbia,52
228,Camila Q. K.,Johnson-Costa,Logistics & Transportation,Sapienza University of Rome,45
229,Anna X. R.,Johnson-Silva,Advertising & Marketing,Northwestern University,27
230,Mary E. O.,Johnson-Santos,Food & Beverage,University of Copenhagen,41
231,Hannah D. K.,Johnson-Ferreira,Software,University of Cambridge,45
232,Edward U. F.,Johnson-Pereira,IT Management,Georgia Institute of Technology,40
233,Matthew,Johnson-Oliveira,Insurance,RWTH Aachen University,52
234,Hannah Q. F.,Johnson-Muller,Retail,University College Dublin,32
235,Andrew,Johnson-Schmidt,Business Products & Services,LMU Munich,54
236,Katerina M. M.,Johnson-Schneider,Insurance,Imperial College London,24
237,Donald I. X.,Johnson-Fischer,Advertising & Marketing,Technical University of Munich,52
238,Steven G. K.,Johnson-Weber,Retail,"University of California, Berkeley",32
239,Elena J. P.,Johnson-Dubois,Advertising & Marketing,Sapienza University of Rome,25
240,Eleni M. Y.,Johnson-Moreau,Advertising & Marketing,Stanford University,36
241,Grace T. W.,Johnson-Lefevre,Manufacturing,University College Dublin,43
242,Andrew,Johnson-Laurent,Consumer Products & Services,University of British Columbia,27
243,Linda,Johnson-Leroy,Engineering,Duke University,36
244,Jennifer,Johnson-Bernard,IT Services,University of Patras,30
245,Thomas X. C.,Johnson-Petit,Software,Stanford University,30
246,Jennifer,Johnson-Durand,IT Management,KTH Royal Institute of Technology,46
247,Karen G. E.,Johnson-Nowak,Human Resources,University of Porto,42
248,Daniel P. L.,Johnson-Kowalski,Advertising & Marketing,University of Pennsylvania,52
249,Evelyn S. A.,Johnson-Novak,Real Estate,École Polytechnique,31
250,Andrew,Johnson-Horvat,Health,Northwestern University,32
251,Emily W. L.,Johnson-Popescu,Financial Services,University of Barcelona,41
252,Ashley X. Q.,Johnson-Ionescu,Telecommunications,University of Michigan,39
253,Edward V. P.,Johnson-Papadopoulos,Financial Services,University of Zurich,45
254,Elizabeth,Johnson-Georgiou,Retail,University of Vienna,37
255,Camila L. E.,Johnson-Nikolaou,Business Products & Services,Humboldt University of Berlin,24
256,George M. J.,Johnson-Kostas,Financial Services,EPFL (École Polytechnique Fédérale de Lausanne),30
257,Matthew W. Z.,Johnson-Andriou,Government Services,McGill University,38
258,James,Johnson-Vasileiou,Real Estate,University of Chicago,32
259,Jacob D. R.,Williams-Smith,Media,Jagiellonian University,44
260,Margaret,Williams-Johnson,Media,University of Glasgow,31
261,Jessica A. G.,Williams-Brown,Advertising & Marketing,Complutense University of Madrid,40
262,Donald Q. V.,Williams-Jones,Manufacturing,RWTH Aachen University,45
263,Jessica,Williams-Garcia,Financial Services,University College Dublin,52
264,Daniel W. I.,Williams-Miller,Manufacturing,Université Paris-Saclay,51
265,Christopher X. W.,Williams-Davis,Construction,University of British Columbia,51
266,Patricia Q. X.,Williams-Rodriguez,IT Management,PSL University,54
267,Donald,Williams-Martinez,Financial Services,RWTH Aachen University,34
268,Daniel V. E.,Williams-Hernandez,Business Products & Services,Sapienza University of Rome,50
269,Eleni Y. P.,Williams-Lopez,Construction,Jagiellonian University,33
270,Eleni I. F.,Williams-Gonzalez,Construction,KTH Royal Institute of Technology,35
271,Robert,Williams-Wilson,IT Management,Charles University,40
272,Charlotte K. K.,Williams-Anderson,Manufacturing,Cornell University,29
273,Karen,Williams-Thomas,Insurance,Yale University,26
274,Steven,Williams-Taylor,Advertising & Marketing,KTH Royal Institute of Technology,54
275,Michael,Williams-Moore,Software,Ghent University,26
276,Camila S. T.,Williams-Jackson,Software,University of Amsterdam,34
277,Zoe H. H.,Williams-Martin,Government Services,University of Amsterdam,29
278,Giannis V. J.,Williams-Lee,IT System Development,University of Vienna,36
279,Michael,Williams-Perez,Education,University of Lisbon,39
280,Edward P. S.,Williams-Thompson,Business Products & Services,The University of Texas at Austin,32
281,John,Williams-White,Financial Services,Duke University,28
282,Evelyn X. J.,Williams-Harris,Logistics & Transportation,Heidelberg University,36
283,Victoria F. W.,Williams-Sanchez,Consumer Products & Services,University of Glasgow,39
284,Daniel,Williams-Clark,Construction,RWTH Aachen University,43
285,Olivia T. Y.,Williams-Ramirez,Software,"University of California, Berkeley",48
286,Benjamin Q. C.,Williams-Lewis,Real Estate,Imperial College London,52
287,William S. W.,Williams-Robinson,Financial Services,Aristotle University of Thessaloniki,49
288,Andreas G. H.,Williams-Walker,Business Products & Services,Carnegie Mellon University,42
289,Donna E. Y.,Williams-Young,Business Products & Services,École Polytechnique,46
290,Joshua,Williams-Allen,Energy,University of British Columbia,51
291,John H. B.,Williams-King,Human Resources,University of Geneva,34
292,James X. Y.,Williams-Wright,Advertising & Marketing,University of Manchester,36
293,Zoe A. C.,Williams-Scott,Human Resources,Johns Hopkins University,42
294,Joseph,Williams-Torres,Logistics & Transportation,University of Valencia,47
295,Donna Q. L.,Williams-Nguyen,Real Estate,Charles University,46
296,Thomas G. Z.,Williams-Hill,Health,"University of California, Berkeley",54
297,Lea S. A.,Williams-Flores,IT Services,University of Lisbon,43
298,Lisa U. K.,Williams-Green,Real Estate,"University of California, San Diego",25
299,Barbara,Williams-Adams,Government Services,Johns Hopkins University,31
300,Zoe M. Q.,Williams-Nelson,Government Services,University of Cambridge,32
301,Elijah B. U.,Williams-Baker,Engineering,Harvard University,42
302,Mia J. A.,Williams-Hall,Advertising & Marketing,KU Leuven,25
303,Evelyn Y. G.,Williams-Rivera,Health,University of Oxford,53
304,Mary,Williams-Campbell,Business Products & Services,Leiden University,52
305,Charles,Williams-Mitchell,Consumer Products & Services,Delft University of Technology,27
306,Jason G. N.,Williams-Carter,Business Products & Services,University of Porto,39
307,Emily L. B.,Williams-Roberts,Logistics & Transportation,University of Amsterdam,48
308,Katerina D. P.,Williams-Phillips,Energy,Aristotle University of Thessaloniki,32
309,Charles,Williams-Evans,Consumer Products & Services,The University of Texas at Austin,38
310,Ashley,Williams-Turner,Logistics & Transportation,UCL (University College London),33
311,Nora R. N.,Williams-Diaz,Food & Beverage,EPFL (École Polytechnique Fédérale de Lausanne),42
312,Jennifer U. N.,Williams-Parker,Retail,University of Oxford,25
313,Chloe C. H.,Williams-Cruz,Business Products & Services,"University of California, Berkeley",40
314,Sandra,Williams-Edwards,Construction,University of British Columbia,32
315,Matthew,Williams-Collins,IT Management,Georgia Institute of Technology,35
316,John X. X.,Williams-Reyes,Government Services,Heidelberg University,38
317,Andrew S. I.,Williams-Stewart,Human Resources,PSL University,44
318,Joseph,Williams-Morris,Business Products & Services,Autonomous University of Barcelona,31
319,Mateo L. U.,Williams-Morales,Real Estate,Humboldt University of Berlin,26
320,Robert,Williams-Murphy,Business Products & Services,Technical University of Munich,38
321,Barbara,Williams-Cook,Financial Services,Delft University of Technology,39
322,Daniel,Williams-Rogers,IT Management,Politecnico di Milano,36
323,Kimberly D. W.,Williams-Gutierrez,Education,University of Vienna,25
324,Amelia H. Z.,Williams-Ortiz,Health,Massachusetts Institute of Technology,28
325,Luca H. N.,Williams-Morgan,IT Management,Heidelberg University,49
326,Donald E. A.,Williams-Cooper,Construction,Trinity College Dublin,35
327,Abigail R. L.,Williams-Peterson,Software,Columbia University,28
328,Joseph X. P.,Williams-Bailey,Health,University of British Columbia,46
329,Margaret E. J.,Williams-Reed,Construction,University of Warsaw,44
330,Lily Q. T.,Williams-Kelly,Construction,University of Valencia,27
331,Theo M. D.,Williams-Howard,Manufacturing,Trinity College Dublin,33
332,Andrew R. V.,Williams-Ramos,Construction,University of Amsterdam,28
333,Thomas,Williams-Kim,Advertising & Marketing,University of Edinburgh,38
334,Andrew,Williams-Cox,Construction,Stockholm University,48
335,Ronald K. E.,Williams-Ward,Consumer Products & Services,University of British Columbia,34
336,Amelia U. G.,Williams-Richardson,Logistics & Transportation,University of Pennsylvania,41
337,Giannis I. K.,Williams-Watson,Advertising & Marketing,University of Amsterdam,24
338,Ashley Y. D.,Williams-Brooks,Financial Services,University of Bologna,49
339,John U. S.,Williams-Chavez,IT Management,London School of Economics and Political Science,42
340,Paul,Williams-Wood,Business Products & Services,University of Pennsylvania,54
341,Kevin I. M.,Williams-James,IT Management,Autonomous University of Barcelona,49
342,Barbara,Williams-Bennett,Real Estate,University of Edinburgh,51
343,Anthony J. V.,Williams-Gray,Advertising & Marketing,Yale University,52
344,Lea U. E.,Williams-Mendoza,IT System Development,University of Amsterdam,41
345,Emily M. O.,Williams-Ruiz,Software,University of Lisbon,46
346,Lea Q. H.,Williams-Hughes,Engineering,Trinity College Dublin,37
347,Jacob M. W.,Williams-Price,Advertising & Marketing,University of Toronto,27
348,Lily R. D.,Williams-Rossi,Advertising & Marketing,Stanford University,27
349,David I. I.,Williams-Russo,IT System Development,Jagiellonian University,31
350,Evelyn Y. D.,Williams-Ferrari,Software,PSL University,39
351,Ashley,Williams-Bianchi,Health,University of Vienna,50
352,George G. B.,Williams-Romano,Business Products & Services,Yale University,34
353,Susan,Williams-Esposito,Telecommunications,London School of Economics and Political Science,53
354,Ryan U. Z.,Williams-Greco,Construction,Jagiellonian University,38
355,Emily,Williams-Conti,Telecommunications,California Institute of Technology,50
356,William,Williams-DeLuca,Advertising & Marketing,Charles University,42
357,Patricia,Williams-Costa,IT Management,National and Kapodistrian University of Athens,37
358,John,Williams-Silva,Health,"University of California, San Diego",54
359,Ashley X. V.,Williams-Santos,Business Products & Services,Autonomous University of Barcelona,30
360,Matthew F. N.,Williams-Ferreira,Health,University of Bologna,47
361,Karen N. I.,Williams-Pereira,IT Management,University of British Columbia,40
362,Elijah L. A.,Williams-Oliveira,Advertising & Marketing,Trinity College Dublin,40
363,Benjamin U. F.,Williams-Muller,Manufacturing,Stanford University,35
364,Noah B. D.,Williams-Schmidt,Software,Duke University,53
365,Kimberly,Williams-Schneider,Consumer Products & Services,ETH Zurich,54
366,Michelle,Williams-Fischer,Environmental Services,University of Barcelona,25
367,Chloe S. D.,Williams-Weber,IT Management,PSL University,32
368,Mark C. L.,Williams-Dubois,Government Services,Carnegie Mellon University,42
369,Linda,Williams-Moreau,Construction,"University of California, San Diego",44
370,George O. P.,Williams-Lefevre,Engineering,Cornell University,46
371,Sofia H. C.,Williams-Laurent,Business Products & Services,Uppsala University,54
372,Jennifer,Williams-Leroy,Health,Charles University,52
373,Giannis U. W.,Williams-Bernard,Business Products & Services,Carnegie Mellon University,44
374,Donald,Williams-Petit,Business Products & Services,University of Barcelona,31
375,Sarah,Williams-Durand,IT Management,University of Michigan,37
376,Lisa,Williams-Nowak,Security,Université Paris-Saclay,40
377,Anna W. N.,Williams-Kowalski,Construction,University of Cambridge,26
378,Leon B. D.,Williams-Novak,Business Products & Services,PSL University,25
379,Richard R. V.,Williams-Horvat,Insurance,California Institute of Technology,53
380,Jason M. U.,Williams-Popescu,Energy,RWTH Aachen University,30
381,Nancy,Williams-Ionescu,Business Products & Services,"University of California, San Diego",37
382,Katerina D. J.,Williams-Papadopoulos,IT Management,Sapienza University of Rome,40
383,Victoria L. A.,Williams-Georgiou,Consumer Products & Services,Trinity College Dublin,41
384,Theo P. C.,Williams-Nikolaou,Logistics & Transportation,Humboldt University of Berlin,53
385,Grace I. T.,Williams-Kostas,Advertising & Marketing,Charles University,48
386,Joseph,Williams-Andriou,Health,Stockholm University,24
387,John G. W.,Williams-Vasileiou,Education,Sorbonne University,37
388,Maria F. I.,Brown-Smith,Construction,Duke University,25
389,Charles,Brown-Johnson,Travel & Hospitality,University of Bologna,37
390,Jeffrey I. Q.,Brown-Williams,IT Management,Jagiellonian University,36
391,Nancy,Brown-Jones,Government Services,KU Leuven,48
392,Kimberly Y. C.,Brown-Garcia,Consumer Products & Services,École Polytechnique,53
393,Katerina C. R.,Brown-Miller,Financial Services,Columbia University,28
394,Giulia O. G.,Brown-Davis,Retail,University of Zurich,35
395,Betty F. R.,Brown-Rodriguez,Real Estate,Université Paris-Saclay,35
