id,name,surname,researchField,company_rank,profile,company_name,industry,city
213.0,Maria,Horvath,Real Estate,,,,,
214.0,Joseph,Davis,Software,,,,,
215.0,Rebecca,Young,Retail,,,,,
216.0,Roxanne,Martin,Government Services,,,,,
217.0,Timothy,Adams,Telecommunications,,,,,
218.0,Samuel,Johnson,Construction,,,,,
219.0,Irene,Walker,Advertising & Marketing,,,,,
220.0,Maya,Nielsen,Advertising & Marketing,,,,,
221.0,Ivy,Martin,Government Services,,,,,
222.0,Ivy,Young,IT Services,,,,,
223.0,Harris,Lewis,Business Products & Services,,,,,
224.0,Maya,Sanchez,Health,,,,,
225.0,Zoe,Adams,Business Products & Services,,,,,
226.0,Noah,Davis,Business Products & Services,,,,,
227.0,Angelina,Bianchi,Health,,,,,
228.0,Sara,Lee,Business Products & Services,,,,,
229.0,Adrian,Harris,Government Services,,,,,
230.0,Arthur,Anderson,Advertising & Marketing,,,,,
231.0,Victor,Rossi,Environmental Services,,,,,
232.0,Marta,Miller,Business Products & Services,,,,,
233.0,Penelope,Davis,Software,,,,,
234.0,Chloe,Baker,Software,,,,,
235.0,Roman,Taylor,Software,,,,,
236.0,Hugo,Moore,Travel & Hospitality,,,,,
237.0,William,Wright,Business Products & Services,,,,,
238.0,Adrian,Nelson,IT System Development,,,,,
239.0,Ivy,Jackson,Business Products & Services,,,,,
240.0,Nadia,Miller,Food & Beverage,,,,,
241.0,Leo,Anderson,Business Products & Services,,,,,
242.0,Nikos,Walker,Logistics & Transportation,,,,,
243.0,Catherine,Mitchell,Logistics & Transportation,,,,,
244.0,Martin,Sanchez,Education,,,,,
245.0,Anthony,Scott,Advertising & Marketing,,,,,
246.0,Eleni,Dubois,Business Products & Services,,,,,
247.0,Richard,Adams,Financial Services,,,,,
248.0,Martin,Muller,Logistics & Transportation,,,,,
249.0,Nicholas,Martin,Advertising & Marketing,,,,,
250.0,Paul,Brown,Business Products & Services,,,,,
251.0,Lydia,Nielsen,Computer Hardware,,,,,
252.0,Theodora,Wright,Computer Hardware,,,,,
253.0,Lucas,Thompson,Software,,,,,
254.0,Jason,Perez,Retail,,,,,
255.0,Katerina,Lee,Financial Services,,,,,
256.0,Victor,Schmidt,Health,,,,,
257.0,Chloe,Harris,Consumer Products & Services,,,,,
258.0,Matthew,Anderson,Engineering,,,,,
259.0,Julia,Williams,IT System Development,,,,,
260.0,Georgia,Gonzalez,IT Management,,,,,
261.0,Nicholas,Novak,Software,,,,,
262.0,Zoe,Adams,Construction,,,,,
263.0,Isabella,Carter,Business Products & Services,,,,,
264.0,Liam,Perez,Engineering,,,,,
265.0,Daniel,Smith,IT Management,,,,,
266.0,Olivia,White,Business Products & Services,,,,,
267.0,Max,Novak,Software,,,,,
268.0,Laura,Moore,Insurance,,,,,
269.0,Eleni,Muller,Business Products & Services,,,,,
270.0,Irene,Baker,Business Products & Services,,,,,
271.0,Roxanne,Wright,Logistics & Transportation,,,,,
272.0,Thomas,Green,Business Products & Services,,,,,
273.0,Gregory,Wright,Health,,,,,
274.0,Victoria,Gonzalez,Construction,,,,,
275.0,Peter,Bianchi,Financial Services,,,,,
276.0,Vasilis,Jackson,Telecommunications,,,,,
277.0,Lucas,Gonzalez,Financial Services,,,,,
278.0,Nicole,Allen,Consumer Products & Services,,,,,
279.0,Roman,Horvath,Software,,,,,
280.0,Olivia,Sanchez,Software,,,,,
281.0,Hugo,King,Health,,,,,
282.0,Dimitris,Baker,Software,,,,,
283.0,Harris,Schmidt,Financial Services,,,,,
284.0,Peter,Dubois,Insurance,,,,,
285.0,Patricia,Miller,Education,,,,,
286.0,Vasilis,Davis,Government Services,,,,,
287.0,Eleni,Hall,Business Products & Services,,,,,
288.0,Adrian,Novak,Software,,,,,
289.0,Benjamin,Jones,Financial Services,,,,,
290.0,David,Robinson,Manufacturing,,,,,
291.0,Victor,Martinez,Telecommunications,,,,,
292.0,Robert,Muller,Human Resources,,,,,
293.0,Natalie,Smith,Consumer Products & Services,,,,,
294.0,Benjamin,Taylor,Software,,,,,
295.0,Eleni,Scott,IT Management,,,,,
296.0,Robert,Schmidt,Advertising & Marketing,,,,,
297.0,Julia,Garcia,Construction,,,,,
298.0,Marta,Taylor,Logistics & Transportation,,,,,
299.0,Spyros,Hernandez,Consumer Products & Services,,,,,
300.0,George,Young,Business Products & Services,,,,,
301.0,Alex,Garcia,Computer Hardware,,,,,
302.0,Harris,Williams,Business Products & Services,,,,,
303.0,Alexandra,Hall,Engineering,,,,,
304.0,Athena,Wright,Logistics & Transportation,,,,,
305.0,Maria,Taylor,Construction,,,,,
306.0,Leo,Rossi,Manufacturing,,,,,
307.0,Thomas,Scott,Financial Services,,,,,
308.0,Angelina,Wright,Manufacturing,,,,,
309.0,Veronica,Martinez,Software,,,,,
310.0,Diana,Schmidt,Health,,,,,
311.0,Philip,Baker,Human Resources,,,,,
312.0,Katerina,Perez,Business Products & Services,,,,,
313.0,Marina,Walker,Government Services,,,,,
314.0,Michael,Smith,Construction,,,,,
315.0,Julia,Lopez,Software,,,,,
316.0,Georgia,Garcia,Advertising & Marketing,,,,,
317.0,David,Hall,Consumer Products & Services,,,,,
318.0,Andreas,Lopez,Government Services,,,,,
319.0,William,Dubois,IT Management,,,,,
320.0,Jack,Kowalski,Logistics & Transportation,,,,,
321.0,Mark,White,Software,,,,,
322.0,Paula,Scott,Software,,,,,
323.0,Nicholas,Gonzalez,Government Services,,,,,
324.0,Michael,Mitchell,Food & Beverage,,,,,
325.0,Bianca,Lewis,Human Resources,,,,,
326.0,Nicholas,Adams,Advertising & Marketing,,,,,
327.0,Alice,Bianchi,Human Resources,,,,,
328.0,Paul,Taylor,Logistics & Transportation,,,,,
329.0,Alex,Anderson,Retail,,,,,
330.0,Harris,Lopez,Government Services,,,,,
331.0,James,Scott,Consumer Products & Services,,,,,
332.0,Dimitris,Kowalski,Health,,,,,
333.0,Katerina,Moore,Business Products & Services,,,,,
334.0,Hugo,Mitchell,Business Products & Services,,,,,
335.0,George,Horvath,Telecommunications,,,,,
336.0,Nicole,Lewis,Government Services,,,,,
337.0,Georgia,Scott,Health,,,,,
338.0,Spyros,Carter,Consumer Products & Services,,,,,
339.0,Gregory,Thompson,Food & Beverage,,,,,
340.0,Peter,Sanchez,Insurance,,,,,
341.0,Christos,Allen,IT Management,,,,,
342.0,Philip,Moore,Health,,,,,
343.0,Nikoleta,Harris,Environmental Services,,,,,
344.0,Christos,Schmidt,IT Services,,,,,
345.0,Natalie,Dubois,Health,,,,,
346.0,Arthur,Martinez,Advertising & Marketing,,,,,
347.0,Katerina,Taylor,Construction,,,,,
348.0,Alexandra,Scott,Software,,,,,
349.0,Julia,Horvath,Advertising & Marketing,,,,,
350.0,Athena,Sanchez,Government Services,,,,,
351.0,Oscar,Smith,Financial Services,,,,,
352.0,Roxanne,Gonzalez,IT Management,,,,,
353.0,Nikos,Perez,Computer Hardware,,,,,
354.0,Nadia,Thomas,Business Products & Services,,,,,
355.0,Stella,Anderson,Engineering,,,,,
356.0,Robert,Sanchez,Telecommunications,,,,,
357.0,Joseph,Jones,Government Services,,,,,
358.0,Leo,Smith,Education,,,,,
359.0,Jason,Lee,Insurance,,,,,
360.0,Georgia,Novak,Government Services,,,,,
361.0,Henry,Hernandez,Retail,,,,,
362.0,Maya,Hernandez,IT Management,,,,,
363.0,Emily,Novak,Advertising & Marketing,,,,,
364.0,Zoe,Davis,Software,,,,,
365.0,Irene,Green,Retail,,,,,
366.0,Spyros,Allen,IT System Development,,,,,
367.0,Christos,Harris,Government Services,,,,,
368.0,Harris,Davis,Government Services,,,,,
369.0,Veronica,Brown,Logistics & Transportation,,,,,
370.0,Martin,Mitchell,Construction,,,,,
371.0,Irene,Allen,Software,,,,,
372.0,Christopher,Carter,Consumer Products & Services,,,,,
373.0,Benjamin,Taylor,Logistics & Transportation,,,,,
374.0,Helen,Jones,Manufacturing,,,,,
375.0,Rebecca,Clark,Media,,,,,
376.0,Eva,Rossi,Retail,,,,,
377.0,Christos,Baker,Consumer Products & Services,,,,,
378.0,David,Martin,Advertising & Marketing,,,,,
379.0,Philip,Clark,Manufacturing,,,,,
380.0,Alexandra,Rossi,Business Products & Services,,,,,
381.0,Joseph,Smith,Logistics & Transportation,,,,,
382.0,Christopher,Hernandez,Human Resources,,,,,
383.0,Stella,White,Security,,,,,
384.0,Richard,Lopez,Health,,,,,
385.0,Maria,Hall,Consumer Products & Services,,,,,
386.0,Leo,Nelson,Government Services,,,,,
387.0,Alice,Dubois,Software,,,,,
388.0,Noah,Lee,Government Services,,,,,
389.0,Oscar,Lewis,Advertising & Marketing,,,,,
390.0,Peter,Mitchell,Software,,,,,
391.0,Liam,Nielsen,Travel & Hospitality,,,,,
392.0,Penelope,Walker,Business Products & Services,,,,,
393.0,Andrew,Thompson,Government Services,,,,,
394.0,Catherine,Baker,Advertising & Marketing,,,,,
395.0,Marta,Green,Manufacturing,,,,,
396.0,Peter,Bianchi,Advertising & Marketing,,,,,
397.0,Liam,Lombardi,Government Services,,,,,
398.0,Matthew,Hernandez,Retail,,,,,
399.0,Christina,Jones,Consumer Products & Services,,,,,
400.0,Richard,Nelson,Advertising & Marketing,,,,,
401.0,Julia,Anderson,Consumer Products & Services,,,,,
402.0,Timothy,Davis,Government Services,,,,,
403.0,Jason,Dubois,Government Services,,,,,
404.0,George,Moore,Software,,,,,
405.0,Maya,White,Food & Beverage,,,,,
406.0,Lucy,Thomas,Financial Services,,,,,
407.0,Catherine,Thompson,Business Products & Services,,,,,
408.0,Claire,Adams,Retail,,,,,
409.0,Peter,Davis,Health,,,,,
410.0,Matthew,Martinez,Consumer Products & Services,,,,,
411.0,Sara,Scott,Education,,,,,
412.0,Roxanne,Nelson,Consumer Products & Services,,,,,
413.0,Dimitris,Bianchi,IT Management,,,,,
414.0,Evelyn,Nielsen,Software,,,,,
415.0,Thomas,Robinson,Advertising & Marketing,,,,,
416.0,Hugo,Harris,Telecommunications,,,,,
417.0,Noah,Adams,Business Products & Services,,,,,
418.0,Ivy,Nielsen,Software,,,,,
419.0,Alexandra,Nelson,Human Resources,,,,,
420.0,Henry,Carter,Advertising & Marketing,,,,,
421.0,Timothy,White,Human Resources,,,,,
422.0,Nicole,Schmidt,Construction,,,,,
423.0,Chloe,Mitchell,Business Products & Services,,,,,
424.0,David,Lombardi,Business Products & Services,,,,,
425.0,Ivy,Sanchez,Logistics & Transportation,,,,,
426.0,Christopher,Moore,IT Management,,,,,
427.0,Liam,Taylor,Media,,,,,
428.0,Daniel,Smith,Financial Services,,,,,
429.0,Paul,Martin,Advertising & Marketing,,,,,
430.0,Paul,Moore,Consumer Products & Services,,,,,
431.0,James,Miller,IT Management,,,,,
432.0,Thomas,Mitchell,Software,,,,,
433.0,Richard,Anderson,Business Products & Services,,,,,
434.0,Claire,Anderson,Financial Services,,,,,
435.0,Leah,Taylor,Financial Services,,,,,
436.0,Lucas,Sanchez,Consumer Products & Services,,,,,
437.0,Alex,Smith,Construction,,,,,
438.0,Zoe,Gonzalez,IT Management,,,,,
439.0,Angelina,Jones,Health,,,,,
440.0,Marina,Brown,Manufacturing,,,,,
441.0,Ivy,Martinez,Construction,,,,,
442.0,Irene,King,Insurance,,,,,
443.0,Daniel,Young,Health,,,,,
444.0,Alexandra,Hall,IT Services,,,,,
445.0,Nikos,Lombardi,Consumer Products & Services,,,,,
446.0,Isabella,Sanchez,Government Services,,,,,
447.0,Anna,Gonzalez,Business Products & Services,,,,,
448.0,Victor,Lee,Business Products & Services,,,,,
449.0,Christos,King,Software,,,,,
450.0,Elisa,Muller,Construction,,,,,
451.0,Victor,Garcia,Construction,,,,,
452.0,Richard,Jackson,Real Estate,,,,,
453.0,Dimitris,Baker,Software,,,,,
454.0,Andreas,Walker,Advertising & Marketing,,,,,
455.0,Catherine,Robinson,Retail,,,,,
456.0,Eleni,Nielsen,Logistics & Transportation,,,,,
457.0,Theodora,Robinson,Business Products & Services,,,,,
458.0,Kostas,Horvath,Business Products & Services,,,,,
459.0,Noah,Sanchez,Government Services,,,,,
460.0,Anthony,Clark,Manufacturing,,,,,
461.0,Jason,Lee,Business Products & Services,,,,,
462.0,Theodora,Scott,Real Estate,,,,,
463.0,Stella,Gonzalez,Education,,,,,
464.0,Penelope,Scott,Construction,,,,,
465.0,Anthony,Miller,Food & Beverage,,,,,
466.0,Thomas,Carter,IT Management,,,,,
467.0,Liam,Moore,Advertising & Marketing,,,,,
468.0,John,Taylor,Travel & Hospitality,,,,,
469.0,Adrian,Rossi,Government Services,,,,,
470.0,Harris,White,Food & Beverage,,,,,
471.0,Helen,Horvath,Software,,,,,
472.0,Adrian,Anderson,Construction,,,,,
473.0,Michael,Hall,Advertising & Marketing,,,,,
474.0,Christopher,Baker,Business Products & Services,,,,,
475.0,William,Young,Software,,,,,
476.0,Christos,Wright,Health,,,,,
477.0,Paul,Novak,Telecommunications,,,,,
478.0,John,Thompson,Construction,,,,,
479.0,Jason,Kowalski,Software,,,,,
480.0,Evelyn,Garcia,Telecommunications,,,,,
481.0,Eva,Baker,Government Services,,,,,
482.0,Christina,Hall,IT System Development,,,,,
483.0,William,Bianchi,Financial Services,,,,,
484.0,Katerina,Clark,Financial Services,,,,,
485.0,Paula,Thomas,Environmental Services,,,,,
486.0,Nadia,Johnson,Advertising & Marketing,,,,,
487.0,Eleni,Lewis,Retail,,,,,
488.0,Christos,Allen,Software,,,,,
489.0,Mark,Nielsen,Business Products & Services,,,,,
490.0,Hugo,Lombardi,Logistics & Transportation,,,,,
491.0,Theodora,Clark,Business Products & Services,,,,,
492.0,Matthew,Dubois,Consumer Products & Services,,,,,
493.0,Daniel,Hall,Manufacturing,,,,,
494.0,Chloe,Moore,Advertising & Marketing,,,,,
495.0,Theodora,Mitchell,Food & Beverage,,,,,
496.0,Timothy,Baker,Advertising & Marketing,,,,,
497.0,Benjamin,Hernandez,IT System Development,,,,,
498.0,Alexandra,Robinson,Advertising & Marketing,,,,,
499.0,Henry,Lewis,IT Management,,,,,
500.0,Penelope,Thomas,Construction,,,,,
501.0,Victoria,Schmidt,Health,,,,,
502.0,Nikos,Smith,IT Management,,,,,
503.0,Mark,Hernandez,Advertising & Marketing,,,,,
504.0,Hugo,Young,Consumer Products & Services,,,,,
505.0,Julia,Lewis,Business Products & Services,,,,,
506.0,Jason,Scott,Retail,,,,,
507.0,George,Hernandez,Software,,,,,
508.0,Roxanne,Smith,Software,,,,,
509.0,Harris,Nelson,Retail,,,,,
510.0,Jasmine,Lee,Consumer Products & Services,,,,,
511.0,Henry,Harris,Business Products & Services,,,,,
512.0,Peter,Davis,Health,,,,,
513.0,Nikoleta,Lewis,Energy,,,,,
514.0,Athena,Thompson,Manufacturing,,,,,
515.0,Victoria,King,Environmental Services,,,,,
516.0,Leo,Smith,Manufacturing,,,,,
517.0,Richard,Carter,Construction,,,,,
518.0,Victor,White,Financial Services,,,,,
519.0,Christopher,Williams,Health,,,,,
520.0,Zoe,Bianchi,Health,,,,,
521.0,Emily,White,Construction,,,,,
522.0,Leo,Bianchi,Logistics & Transportation,,,,,
523.0,Andreas,Sanchez,Consumer Products & Services,,,,,
524.0,Nikoleta,Walker,Manufacturing,,,,,
525.0,Theodora,Williams,Business Products & Services,,,,,
526.0,Mark,Novak,Real Estate,,,,,
527.0,Jack,Horvath,Media,,,,,
528.0,Jason,Thompson,Business Products & Services,,,,,
529.0,Andrew,White,Security,,,,,
530.0,Helen,Rossi,Software,,,,,
531.0,Laura,Brown,Advertising & Marketing,,,,,
532.0,Zoe,Adams,Business Products & Services,,,,,
533.0,Richard,Johnson,Consumer Products & Services,,,,,
534.0,Anna,Horvath,Media,,,,,
535.0,Helen,Sanchez,Business Products & Services,,,,,
536.0,Alex,Carter,Advertising & Marketing,,,,,
537.0,Hugo,Rossi,IT System Development,,,,,
538.0,James,Allen,Real Estate,,,,,
539.0,Oscar,Wright,Financial Services,,,,,
540.0,Natalie,Thomas,Software,,,,,
541.0,Richard,Sanchez,IT Management,,,,,
542.0,Peter,Schmidt,Consumer Products & Services,,,,,
543.0,Leah,Bianchi,Software,,,,,
544.0,Sara,Muller,Consumer Products & Services,,,,,
545.0,Thomas,Green,Advertising & Marketing,,,,,
546.0,Athena,Davis,Consumer Products & Services,,,,,
547.0,Katerina,Williams,Food & Beverage,,,,,
548.0,Jack,Lewis,Software,,,,,
549.0,Angelina,Johnson,IT Management,,,,,
550.0,Chloe,Mitchell,Software,,,,,
551.0,Dimitris,Horvath,IT System Development,,,,,
552.0,Peter,Anderson,Financial Services,,,,,
553.0,Nicholas,Horvath,Human Resources,,,,,
554.0,Nicole,Schmidt,Real Estate,,,,,
555.0,William,Thomas,Food & Beverage,,,,,
556.0,Maya,Martinez,Construction,,,,,
557.0,Helen,Miller,Advertising & Marketing,,,,,
558.0,Maria,Perez,Business Products & Services,,,,,
559.0,Ivy,Garcia,Health,,,,,
560.0,Irene,Brown,Construction,,,,,
561.0,Athena,Young,Construction,,,,,
562.0,Harris,Rossi,Human Resources,,,,,
563.0,Lucy,Horvath,Construction,,,,,
564.0,Lucas,Brown,Government Services,,,,,
565.0,Nikoleta,Gonzalez,Telecommunications,,,,,
566.0,Mark,Davis,Business Products & Services,,,,,
567.0,Emily,Green,Advertising & Marketing,,,,,
568.0,Veronica,White,Advertising & Marketing,,,,,
569.0,Nicole,Hernandez,Travel & Hospitality,,,,,
570.0,Elisa,Bianchi,Retail,,,,,
571.0,Timothy,Mitchell,Government Services,,,,,
572.0,Paula,Schmidt,Advertising & Marketing,,,,,
573.0,Rebecca,Johnson,Advertising & Marketing,,,,,
574.0,Mark,Harris,Government Services,,,,,
